Mask Name,OBJID,Velocity (km/s),Mask Name(Check),OBJID(Check),HI,CO,RA,Dec
M33D2B,10001745,-138.0,M33D2B,10001745,,,23.419635,30.48181388
M33D2B,10001750,-132.0,M33D2B,10001750,,,23.392551659999995,30.49989722
M33D2B,10001993,-126.0,M33D2B,10001993,,,23.404801664999997,30.50964722
M33D2B,10002052,-141.0,M33D2B,10002052,,,23.456593319999996,30.48273055
M33D2B,10002223,-126.0,M33D2B,10002223,,,23.403343319999998,30.47753611
M33D2B,10002422,-219.0,M33D2B,10002422,,,23.457593324999998,30.481925
M33D2B,10003360,-132.0,M33D2B,10003360,,,23.395635,30.49736944
M33D2B,10003929,-162.0,M33D2B,10003929,,,23.437968329999997,30.47086944
M33D2B,10004709,-138.0,M33D2B,10004709,,,23.41163499,30.50964722
M33D2B,10005411,-132.0,M33D2B,10005411,,,23.412343319999994,30.48948055
M33D2B,10006100,-126.0,M33D2B,10006100,,,23.411051654999998,30.45828611
M33D2B,10006969,-126.0,M33D2B,10006969,,,23.438884995,30.47614722
M33D2B,10010569,-126.0,M33D2B,10010569,,,23.408093325,30.49814722
M33D2B,10011452,-132.0,M33D2B,10011452,,,23.405801654999998,30.47084166
M33D2B,10017051,-252.0,M33D2B,10017051,,,23.447051654999996,30.46989722
M33D2B,10024299,-138.0,M33D2B,10024299,,,23.429593319999995,30.48653611
M33D2B,12001883,-144.0,M33D2B,12001883,,,23.568089429999997,30.47070277
M33D2B,12001977,-156.0,M33D2B,12001977,,,23.56788111,30.46700833
M33D3A,7000295,-179.99999999999997,M33D3A,7000295,,,23.376825404999995,30.30282361
M33D3A,7000532,-167.99999999999997,M33D3A,7000532,,,23.408033744999997,30.28712916
M33D3A,7000828,-192.00000000000003,M33D3A,7000828,,,23.412742079999997,30.29724027
M33D3A,7001037,-144.0,M33D3A,7001037,,,23.403325409999997,30.30615694
M33D3A,147430,-102.0,M33D3A,147430,-106.8542232829488,,23.369666666666667,30.345388888888888
M33D3A,155880,-150.0,M33D3A,155880,-111.59302711231821,,23.38195833333333,30.356222222222225
M33D3B,6000711,-126.0,M33D3B,6000711,,,23.28604875,30.40961666
M33D3B,6001147,-114.0,M33D3B,6001147,,,23.28479874,30.41772777
M33D3B,6002308,-3.0000000000000004,M33D3B,6002308,,,23.28588207,30.42075555
M33D3B,6003411,-126.0,M33D3B,6003411,,,23.292132074999998,30.39153333
M33D3B,6003439,-117.0,M33D3B,6003439,,,23.29038207,30.41925555
M33D3B,6003707,-126.0,M33D3B,6003707,,,23.279507069999998,30.39142222
M33D3B,6003744,-126.0,M33D3B,6003744,,,23.299132079999996,30.41489444
M33D3B,6003996,-138.0,M33D3B,6003996,,,23.322132074999995,30.38753333
M33D3B,6004734,-114.0,M33D3B,6004734,,,23.286757079999997,30.39131111
M33D3B,6005513,-114.0,M33D3B,6005513,,,23.299715414999998,30.40025555
M33D3B,6005724,-54.0,M33D3B,6005724,,,23.278757069999997,30.41094999
M33D3B,6006994,-126.0,M33D3B,6006994,,,23.312382074999995,30.39914444
M33D3B,6007515,-78.0,M33D3B,6007515,,,23.303423744999996,30.41453333
M33D3B,6008871,-114.0,M33D3B,6008871,,,23.297882069999996,30.41300555
M33D3B,6009207,-120.0,M33D3B,6009207,,,23.303423744999996,30.3757
M33D3B,6010511,-126.0,M33D3B,6010511,,,23.282298749999995,30.39033888
M33D3B,6010521,-120.0,M33D3B,6010521,,,23.302090409999998,30.38256111
M33D3B,6011098,-120.0,M33D3B,6011098,,,23.303715404999995,30.39111666
M33D3B,6013369,-114.0,M33D3B,6013369,,,23.295215414999998,30.39181111
M33D3B,8000135,-120.0,M33D3B,8000135,,,23.313593054999995,30.38460833
M33D3B,8000190,-126.0,M33D3B,8000190,,,23.304843045,30.37274722
M33D3B,8000254,-132.0,M33D3B,8000254,,,23.344009709999998,30.38960833
M33D3B,8000276,-120.0,M33D3B,8000276,,,23.320384709999995,30.38174722
M33D3B,8000336,-132.0,M33D3B,8000336,,,23.336968049999996,30.35660833
M33D3B,8000827,-138.0,M33D3B,8000827,,,23.339593049999998,30.39260833
M33D3B,8001084,-66.0,M33D3B,8001084,,,23.31788472,30.36608055
M33D3B,8004492,-126.0,M33D3B,8004492,,,23.299551374999997,30.38385833
M33D3B,5000039,-120.0,M33D3B,5000039,,,23.26602972,30.43118611
M33D3B,5000067,-138.0,M33D3B,5000067,,,23.292863054999998,30.45718611
M33D3B,5000195,-138.0,M33D3B,5000195,,,23.294196375,30.459075
M33D3B,5000208,-132.0,M33D3B,5000208,,,23.30165472,30.45276944
M33D3B,5000517,-120.0,M33D3B,5000517,,,23.292863054999998,30.46218611
M33D3B,5000925,-126.0,M33D3B,5000925,,,23.266196384999997,30.42993611
M33D3B,5001158,-129.0,M33D3B,5001158,,,23.291988044999997,30.45051944
M33D3B,5001902,-123.0,M33D3B,5001902,,,23.291238045,30.45260277
M33D3B,5001990,-132.0,M33D3B,5001990,,,23.300196374999995,30.45960277
M33D3B,5002031,-141.0,M33D3B,5002031,,,23.291363054999998,30.46015833
M33D3B,5005330,-138.0,M33D3B,5005330,,,23.252904719999997,30.48265833
M33D3B,5005347,-120.0,M33D3B,5005347,,,23.295404714999997,30.46940833
M33D3B,5005941,-126.0,M33D3B,5005941,,,23.263821375,30.47238055
M33D3B,5007121,-156.0,M33D3B,5007121,,,23.257363049999995,30.48354722
M33D3B,5008012,-120.0,M33D3B,5008012,,,23.295696375,30.47079722
M33D3B,5008058,-126.0,M33D3B,5008058,,,23.257946384999997,30.47629722
M33D3B,5010376,-126.0,M33D3B,5010376,,,23.249363054999996,30.46015833
M33D3B,7000073,-66.0,M33D3B,7000073,,,23.379117075,30.29060138
M33D3B,7000077,-111.0,M33D3B,7000077,,,23.385033749999998,30.29629583
M33D3B,7000527,-132.0,M33D3B,7000527,,,23.380992074999998,30.31079583
M33D3B,7000541,-147.0,M33D3B,7000541,,,23.379158744999998,30.31112916
M33D3B,7000550,-126.0,M33D3B,7000550,,,23.381492069999997,30.31376805
M33D3B,7001126,-138.0,M33D3B,7001126,,,23.37707541,30.32304583
M33D3B,7001138,-102.0,M33D3B,7001138,,,23.353367069999997,30.28329583
M33D3B,7001443,-132.0,M33D3B,7001443,,,23.381450414999996,30.32337916
M33D3B,7003249,-126.0,M33D3B,7003249,,,23.374242074999998,30.31274027
M33D3B,7004780,-213.0,M33D3B,7004780,,,23.40228375,30.25876805
M33D3B,118227,-114.0,M33D3B,118227,-101.8370747540856,,23.323666666666664,30.309250000000002
M33D3B,126000,-102.0,M33D3B,126000,-115.05596489373232,,23.325124999999996,30.31813888888889
M33D3B,127513,-75.0,M33D3B,127513,-240.2654376772964,,23.32558333333333,30.32102777777778
M33D3B,137854,-102.0,M33D3B,137854,-189.96224409499538,,23.329958333333334,30.33186111111111
M33D3B,285268,-141.0,M33D3B,285268,-130.44528250019067,,23.271916666666666,30.503972222222224
M33D3D,6000073,-126.0,M33D3D,6000073,,,23.29388208,30.40753333
M33D3D,6000479,-126.0,M33D3D,6000479,,,23.292590414999996,30.42047777
M33D3D,6000483,-126.0,M33D3D,6000483,,,23.284715414999997,30.37286666
M33D3D,6001138,-120.0,M33D3D,6001138,,,23.312132069999997,30.39325555
M33D3D,6002204,-120.0,M33D3D,6002204,,,23.287215404999998,30.39278333
M33D3D,6003317,-120.0,M33D3D,6003317,,,23.276590409999997,30.39445
M33D3D,6004317,-126.0,M33D3D,6004317,,,23.302632075,30.41181111
M33D3D,6004796,-120.0,M33D3D,6004796,,,23.299590405,30.38186666
M33D3D,6004973,-132.0,M33D3D,6004973,,,23.299382069999997,30.39269999
M33D3D,6011838,-114.0,M33D3D,6011838,,,23.293715414999998,30.39314444
M33D3D,8000127,-132.0,M33D3D,8000127,,,23.31859305,30.36333055
M33D3D,8000302,-126.0,M33D3D,8000302,,,23.307259709999997,30.38024722
M33D3D,8000331,-126.0,M33D3D,8000331,,,23.353593044999997,30.38835833
M33D3D,8000574,-132.0,M33D3D,8000574,,,23.310176385,30.38816388
M33D3D,8000935,-120.0,M33D3D,8000935,,,23.31180138,30.38816388
M33D3D,8001524,-228.0,M33D3D,8001524,,,23.331134714999997,30.37785833
M33D3D,8004627,-132.0,M33D3D,8004627,,,23.297343044999995,30.38280277
M33D3D,8009069,-132.0,M33D3D,8009069,,,23.29567638,30.38266388
M33D3D,5001246,-159.0,M33D3D,5001246,,,23.247154709999997,30.46626944
M33D3D,7000522,-141.0,M33D3D,7000522,,,23.367908744999998,30.28726805
M33D3D,7000524,-138.0,M33D3D,7000524,,,23.39086707,30.30554583
M33D3D,7000597,-126.0,M33D3D,7000597,,,23.375117069999998,30.29118472
M33D3D,7000619,-114.0,M33D3D,7000619,,,23.37749208,30.31849027
M33D3D,7000716,-138.0,M33D3D,7000716,,,23.389658745,30.27926805
M33D3D,7000803,-126.0,M33D3D,7000803,,,23.374867079999998,30.30890694
M33D3D,7000820,-138.0,M33D3D,7000820,,,23.391742079999997,30.27787916
M33D3D,7000894,-126.0,M33D3D,7000894,,,23.37599208,30.31337916
M33D3D,147674,-126.0,M33D3D,147674,-106.75587112689719,-107.24687112689718,23.37925,30.34594444444444
M33D4A,9000124,-132.0,M33D4A,9000124,,,23.281152764999998,30.23347777
M33D4A,9000251,-117.0,M33D4A,9000251,,,23.29444443,30.26186666
M33D4A,9001094,-117.0,M33D4A,9001094,,,23.287152765,30.22878333
M33D4A,9001225,-138.0,M33D4A,9001225,,,23.285694434999996,30.27708888
M33D4A,7000039,-108.0,M33D4A,7000039,,,23.379908744999998,30.29457361
M33D4A,7000174,-102.0,M33D4A,7000174,,,23.37707541,30.30087916
M33D4A,7000185,-129.0,M33D4A,7000185,,,23.390158739999997,30.30193472
M33D4A,7000636,-126.0,M33D4A,7000636,,,23.359492079999995,30.30515694
M33D4A,7000692,-129.0,M33D4A,7000692,,,23.387492069999997,30.30829583
M33D4A,7001010,-138.0,M33D4A,7001010,,,23.385200415,30.27540694
M33D4A,7002279,-108.0,M33D4A,7002279,,,23.38574208,30.29707361
M33D4A,7003402,-114.0,M33D4A,7003402,,,23.357992079999995,30.28754583
M33D4A,7003815,-114.0,M33D4A,7003815,,,23.357408744999997,30.2932125
M33D4A,7004475,-126.0,M33D4A,7004475,,,23.372533739999998,30.28785138
M33D4A,7004998,-114.0,M33D4A,7004998,,,23.356908749999995,30.28499027
M33D4A,7005563,-138.0,M33D4A,7005563,,,23.383992075,30.32062916
M33D4A,7007572,-126.0,M33D4A,7007572,,,23.373867074999996,30.29940694
M33D4A,35864,-126.0,M33D4A,35864,-91.25835206412903,,23.246124999999996,30.208194444444445
M33D4A,100978,-120.0,M33D4A,100978,-117.70400238929594,-115.90400238929594,23.44470833333333,30.286833333333334
M33D4A,125170,-126.0,M33D4A,125170,-123.34305037924113,,23.43358333333333,30.318166666666666
M33D4A,139880,-126.0,M33D4A,139880,-159.42969495892547,,23.455916666666663,30.3315
M33D4A,143429,-126.0,M33D4A,143429,-112.64855889464846,,23.454041666666665,30.339916666666664
M33D4A,143808,-138.0,M33D4A,143808,-113.45731403997623,,23.455541666666665,30.340277777777775
M33D4A,144357,-138.0,M33D4A,144357,-214.69292159460426,,23.459999999999997,30.339527777777775
M33D4A,145841,-138.0,M33D4A,145841,-117.71076273567219,,23.427999999999997,30.34125
M33D4A,145944,-138.0,M33D4A,145944,-124.65488013221594,,23.460541666666664,30.343555555555554
M33D4B,9001617,-179.99999999999997,M33D4B,9001617,,,23.282194439999998,30.28167222
M33D4B,7000370,-138.0,M33D4B,7000370,,,23.392617074999997,30.29987916
M33D4B,7000560,-132.0,M33D4B,7000560,,,23.39253375,30.3022125
M33D4B,7000911,-126.0,M33D4B,7000911,,,23.38870041,30.28074027
M33D4B,7000918,-132.0,M33D4B,7000918,,,23.38870041,30.2989625
M33D4B,69893,-102.0,M33D4B,69893,-96.97073452352136,,23.328416666666666,30.248555555555555
M33D4B,107379,-117.0,M33D4B,107379,-102.14760739391095,,23.326958333333334,30.29625
M33D4B,141230,-144.0,M33D4B,141230,-110.45370552837016,,23.453374999999998,30.337305555555556
M33D4B,144348,-138.0,M33D4B,144348,-115.69452670954064,,23.467208333333332,30.337638888888886
M33D4B,145574,-150.0,M33D4B,145574,-116.54496575147759,-114.8999657514776,23.428666666666665,30.34247222222222
M33D4B,147362,-150.0,M33D4B,147362,-118.1670930653513,-113.1980930653513,23.42895833333333,30.34472222222222
M33D4C,7003770,-108.0,M33D4C,7003770,,,23.359575404999998,30.30337916
M33D4C,7000481,-114.0,M33D4C,7000481,,,23.378075414999998,30.31015694
M33D4C,7000856,-126.0,M33D4C,7000856,,,23.411992079999997,30.29760138
M33D4C,7001207,-126.0,M33D4C,7001207,,,23.380283744999996,30.31149027
