Mask Name,Slit Number,RA,DEC,OBJECT ID,Redshift,QOP
M33D2B,59,23.587125,30.388388888888887,180396,-138.0,3
M33D2B,66,23.578166666666664,30.399166666666666,197587,-222.0,2
M33D2B,79,23.48225,30.43138888888889,218315,-174.0,3
M33D2B,89,23.49866666666667,30.454361111111112,238449,-138.0,2
M33D2B,90,23.48645833333333,30.453972222222234,239167,-147.0,3
M33D2B,91,23.494750000000003,30.457694444444442,242145,-150.0,3
M33D2B,92,23.473666666666666,30.4585,242166,-156.0,3
M33D2B,95,23.48791666666667,30.46080555555556,244371,-138.0,3
M33D2B,96,23.491208333333336,30.462111111111113,245562,-150.0,3
M33D2B,97,23.49445833333333,30.466638888888887,250980,-147.0,3
M33D2B,100,23.4645,30.46933333333333,252356,-144.0,3
M33D2B,105,23.47420833333333,30.472527777777767,255496,-177.0,1
M33D2B,106,23.46345833333333,30.47325,256335,-159.0,3
M33D2B,107,23.470125,30.47594444444445,258745,-174.0,3
M33D2B,109,23.482958333333336,30.477305555555553,259904,-165.0,3
M33D2B,111,23.297875,30.485111111111113,268191,-147.0,3
M33D2B,113,23.30220833333333,30.50255555555556,285309,-141.0,3
M33D2B,114,23.305166666666665,30.506222222222235,287327,-150.0,3
M33D2B,115,23.312916666666666,30.509555555555554,290733,-138.0,3
M33D2B,116,23.313416666666665,30.514388888888888,296181,-141.0,3
M33D2B,118,23.378625,30.528055555555554,11000141,-150.0,3
M33D2B,120,23.36229166666667,30.52686111111111,11000322,-150.0,3
M33D2B,122,23.373875,30.529277777777768,11000461,-156.0,3
M33D2B,127,23.37833333333333,30.517861111111113,11001057,-150.0,3
M33D2B,129,23.33454166666667,30.533472222222233,11001142,-144.0,3
M33D2B,130,23.341708333333337,30.49077777777779,11001191,-144.0,3
M33D2B,131,23.3855,30.516,11001373,-138.0,3
M33D2B,133,23.32875,30.52330555555556,11002087,-147.0,3
M33D2B,137,23.38429166666667,30.51616666666667,11002539,-141.0,3
M33D2B,141,23.375625,30.524,11003201,-144.0,3
M33D2B,142,23.338,30.50791666666667,11003226,-132.0,3
M33D2B,148,23.356333333333332,30.51913888888889,11009421,-132.0,3
M33D2B,153,23.363916666666668,30.527638888888887,11015178,-179.99999999999997,3
M33D2B,163,23.39558333333333,30.503777777777767,10000472,-150.0,3
M33D2B,164,23.412125,30.492166666666666,10000911,-144.0,3
M33D2B,166,23.39983333333333,30.504277777777766,10001431,-138.0,3
M33D2B,167,23.40925,30.514,10001561,-156.0,3
M33D2B,169,23.419625,30.48188888888889,10001745,-138.0,3
M33D2B,170,23.39254166666667,30.499972222222233,10001750,-132.0,3
M33D2B,171,23.40479166666667,30.509722222222226,10001993,-126.0,3
M33D2B,172,23.45658333333333,30.482805555555554,10002052,-141.0,3
M33D2B,173,23.40333333333333,30.477611111111113,10002223,-126.0,3
M33D2B,175,23.457583333333336,30.482,10002422,-219.0,2
M33D2B,181,23.39562500000001,30.49744444444445,10003360,-132.0,3
M33D2B,182,23.43795833333333,30.47094444444444,10003929,-162.0,2
M33D2B,184,23.411625,30.509722222222226,10004709,-138.0,3
M33D2B,190,23.412333333333336,30.489555555555558,10005411,-132.0,3
M33D2B,192,23.411041666666666,30.458361111111113,10006100,-126.0,1
M33D2B,194,23.438875,30.47622222222222,10006969,-126.0,1
M33D2B,198,23.40808333333333,30.498222222222232,10010569,-126.0,3
M33D2B,199,23.40579166666667,30.470916666666664,10011452,-132.0,3
M33D2B,200,23.44704166666667,30.46997222222221,10017051,-252.0,1
M33D2B,201,23.42958333333333,30.486611111111113,10024299,-138.0,3
M33D2B,211,23.56808333333333,30.470805555555554,12001883,-144.0,3
M33D2B,212,23.567875,30.467111111111112,12001977,-156.0,3
M33D3A,158,23.37683333333333,30.302888888888887,7000295,-179.99999999999997,2
M33D3A,164,23.408041666666666,30.287194444444445,7000532,-167.99999999999997,2
M33D3A,172,23.41275000000001,30.297305555555557,7000828,-192.00000000000003,2
M33D3A,181,23.40333333333333,30.30622222222223,7001037,-144.0,2
M33D3A,226,23.36966666666667,30.345388888888888,147430,-102.0,1
M33D3A,228,23.38195833333333,30.356222222222232,155880,-150.0,3
M33D3B,12,23.286041666666666,30.409666666666666,6000711,-126.0,3
M33D3B,13,23.28479166666667,30.417777777777786,6001147,-114.0,3
M33D3B,15,23.285875,30.420805555555557,6002308,-3.0000000000000004,1
M33D3B,17,23.292125,30.39158333333333,6003411,-126.0,3
M33D3B,18,23.290375,30.419305555555557,6003439,-117.0,3
M33D3B,19,23.2795,30.391472222222234,6003707,-126.0,3
